ID,Num,USO,Num USO,NSE U/S,A,B,C,D,E,C1,C2,C3,IL,IM,IP,QTY servicios,VOZ,Datos s/dom,Datos,Datos-fibra-telmex-inf,TV Cable,DISH,TVS,SKY,VETV
2120,321-A,COMERCIAL,4,V,,,,,,,,1,,,,0,,,,,,,,,
2121,321-B,COMERCIAL,4,V,,,,,,,,1,,,,0,,,,,,,,,
2122,322,COMERCIAL,4,V,,,,,,,,1,,,,0,,,,,,,,,
2123,320,COMERCIAL,4,V,,,,,,,,1,,,,0,,,,,,,,,
2124,320-A,,,V,,,,1,,,,,,,,0,,,,,,,,,
2125,318,,,V,,,,1,,,,,,,,0,,,,,,,,,
2126,316,COMERCIAL,4,V,,,,1,,,,1,,,,0,,,,,,,,,
2127,319-A,COMERCIAL,4,V,,,,,,,,1,,,,0,,,,,,,,,
2128,319-B,COMERCIAL,4,V,,,,,,,,1,,,,0,,,,,,,,,
2129,319-C,COMERCIAL,4,V,,,,,,,,1,,,,0,,,,,,,,,
2130,319-D,COMERCIAL,4,V,,,,,,,,1,,,,0,,,,,,,,,
2131,319-F,COMERCIAL,4,V,,,,,,,,1,,,,0,,,,,,,,,
2132,5-A,,,V,,,,,4,,,,,,,0,,,,,,,,,
2133,A,COMERCIAL,4,V,,,,,,,,1,,,,0,,,,,,,,,
2134,B,COMERCIAL,4,V,,,,,,,,1,,,,0,,,,,,,,,
2135,C,COMERCIAL,4,V,,,,,,,,1,,,,0,,,,,,,,,
2136,D,COMERCIAL,4,V,,,,,,,,1,,,,0,,,,,,,,,
2137,E,COMERCIAL,4,V,,,,,,,,1,,,,0,,,,,,,,,
2138,D,COMERCIAL,4,V,,,,,,,,1,,,,0,,,,,,,,,
2139,318,COMERCIAL,4,V,,,,,,,,1,,,,0,,,,,,,,,
2140,12,,,V,,,,,1,,,,,,,1,,,,,1,,,,
2141,13,,,V,,,,1,,,,,,,,1,,,,,1,,,,
2142,14,,,V,,,,,1,,,,,,,0,,,,,,,,,
2143,15,,,V,,,,,1,,,,,,,0,,,,,,,,,
2144,16,,,V,,,,,1,,,,,,,0,,,,,,,,,
2145,17,,,V,,,,,1,,,,,,,0,,,,,,,,,
2146,18,,,V,,,,,1,,,,,,,0,,,,,,,,,
2147,19,,,V,,,,1,,,,,,,,0,,,,,,,,,
2148,20,,,V,,,,1,,,,,,,,1,,,,,1,,,,
2149,21,,,V,,,,1,,,,,,,,0,,,,,,,,,
2150,22,,,V,,,,,1,,,,,,,0,,,,,,,,,
2151,23,,,V,,,,,1,,,,,,,0,,,,,,,,,
2152,24,,,V,,,,1,,,,,,,,0,,,,,,,,,
2153,25,,,V,,,,,1,,,,,,,0,,,,,,,,,
2154,26,,,V,,,,1,,,,,,,,1,,,,,,,1,,
2155,27,,,V,,,,,1,,,,,,,0,,,,,,,,,
2156,28,,,V,,,,,1,,,,,,,0,,,,,,,,,
2157,29,,,V,,,,,1,,,,,,,0,,,,,,,,,
2158,1,,,V,,,,,1,,,,,,,0,,,,,,,,,
2159,2,,,V,,,,,1,,,,,,,1,,,,,1,,,,
2160,5,,,V,,,,,1,,,,,,,0,,,,,,,,,
2161,6,,,V,,,,,1,,,,,,,0,,,,,,,,,
2162,7,,,V,,,,,1,,,,,,,0,,,,,,,,,
2163,8,,,V,,,,1,,,,,,,,0,,,,,,,,,
2164,9,BALDIO,2,,,,,,,,,,,,,0,,,,,,,,,
2165,10,,,V,,,,,1,,,,,,,0,,,,,,,,,
2166,11,,,V,,,,,1,,,,,,,0,,,,,,,,,
2167,1,,,V,,,,,1,,,,,,,0,,,,,,,,,
2168,2,,,V,,,,,1,,,,,,,0,,,,,,,,,
2169,3,,,V,,,,,1,,,,,,,0,,,,,,,,,
2170,4,,,V,,,,,1,,,,,,,0,,,,,,,,,
2171,5,BALDIO,2,,,,,,,,,,,,,0,,,,,,,,,
2172,6,,,V,,,,,1,,,,,,,0,,,,,,,,,
2173,7,BALDIO,2,,,,,,,,,,,,,0,,,,,,,,,
2174,8,,,V,,,,,1,,,,,,,0,,,,,,,,,
2175,9,BALDIO,2,,,,,,,,,,,,,0,,,,,,,,,
2176,10,,,V,,,,,1,,,,,,,0,,,,,,,,,
2177,12,COMERCIAL,4,V,,,,,,,,1,,,,0,,,,,,,,,
2178,14,,,V,,,,1,,,,,,,,0,,,,,,,,,
2179,16,,,V,,,,1,,,,,,,,0,,,,,,,,,
2180,18,BALDIO,2,,,,,,,,,,,,,0,,,,,,,,,
2181,26-B,,,V,,,,,1,,,,,,,0,,,,,,,,,
2182,22,,,V,,,,,1,,,,,,,0,,,,,,,,,
2183,24,BALDIO,2,,,,,,,,,,,,,0,,,,,,,,,
2184,26,,,V,,,,,1,,,,,,,0,,,,,,,,,
2185,28,,,V,,,,,1,,,,,,,0,,,,,,,,,
2186,11,BALDIO,2,,,,,,,,,,,,,0,,,,,,,,,
2187,39,COMERCIAL,4,V,,,,,,,,1,,,,0,,,,,,,,,
2188,40,COMERCIAL,4,V,,,,,,,,1,,,,0,,,,,,,,,
2189,41,COMERCIAL,4,V,,,,,,,,1,,,,0,,,,,,,,,
2190,42,COMERCIAL,4,V,,,,,,,,1,,,,0,,,,,,,,,
2191,43,COMERCIAL,4,V,,,,,,,,1,,,,0,,,,,,,,,
2192,44,COMERCIAL,4,V,,,,,,,,1,,,,0,,,,,,,,,
2193,45,COMERCIAL,4,V,,,,,,,,1,,,,0,,,,,,,,,
2194,46,COMERCIAL,4,V,,,,,,,,1,,,,0,,,,,,,,,
2195,47,COMERCIAL,4,V,,,,,,,,1,,,,0,,,,,,,,,
2196,48,COMERCIAL,4,V,,,,,,,,1,,,,0,,,,,,,,,
2197,49,COMERCIAL,4,V,,,,,,,,1,,,,0,,,,,,,,,
2198,50,COMERCIAL,4,V,,,,,,,,1,,,,0,,,,,,,,,
2199,51,COMERCIAL,4,V,,,,,,,,1,,,,0,,,,,,,,,
2200,52,COMERCIAL,4,V,,,,,,,,1,,,,0,,,,,,,,,
2201,53,COMERCIAL,4,V,,,,,,,,1,,,,0,,,,,,,,,
2202,54,COMERCIAL,4,V,,,,,,,,1,,,,0,,,,,,,,,
2203,55,COMERCIAL,4,V,,,,,,,,1,,,,0,,,,,,,,,
2204,56,COMERCIAL,4,V,,,,,,,,1,,,,0,,,,,,,,,
2205,57,COMERCIAL,4,V,,,,,,,,1,,,,0,,,,,,,,,
2206,58,COMERCIAL,4,V,,,,,,,,1,,,,0,,,,,,,,,
2207,60,COMERCIAL,4,V,,,,,,,,1,,,,0,,,,,,,,,
2208,61,COMERCIAL,4,V,,,,,,,,1,,,,0,,,,,,,,,
2209,62,COMERCIAL,4,V,,,,,,,,1,,,,0,,,,,,,,,
2210,63,COMERCIAL,4,V,,,,,,,,1,,,,0,,,,,,,,,
2211,64,COMERCIAL,4,V,,,,,,,,1,,,,0,,,,,,,,,
2212,65,COMERCIAL,4,V,,,,,,,,1,,,,0,,,,,,,,,
2213,66,COMERCIAL,4,V,,,,,,,,1,,,,0,,,,,,,,,
2214,67,COMERCIAL,4,V,,,,,,,,1,,,,0,,,,,,,,,
2215,68,COMERCIAL,4,V,,,,,,,,1,,,,0,,,,,,,,,
2216,69,COMERCIAL,4,V,,,,,,,,1,,,,0,,,,,,,,,
2217,70,COMERCIAL,4,V,,,,,,,,1,,,,0,,,,,,,,,
2218,71,COMERCIAL,4,V,,,,,,,,1,,,,0,,,,,,,,,
2219,72,COMERCIAL,4,V,,,,,,,,1,,,,0,,,,,,,,,
2220,73,COMERCIAL,4,V,,,,,,,,1,,,,0,,,,,,,,,
2221,74,COMERCIAL,4,V,,,,,,,,1,,,,0,,,,,,,,,
2222,75,COMERCIAL,4,V,,,,,,,,1,,,,0,,,,,,,,,
2223,76,COMERCIAL,4,V,,,,,,,,1,,,,0,,,,,,,,,
2224,77,,,V,,,,,1,,,,,,,0,,,,,,,,,
2225,78,COMERCIAL,4,V,,,,,1,,,1,,,,0,,,,,,,,,
2226,79,BALDIO,2,,,,,,,,,,,,,0,,,,,,,,,
2227,80,COMERCIAL,4,V,,,,,,,,1,,,,0,,,,,,,,,
2228,81,COMERCIAL,4,V,,,,,,,,1,,,,0,,,,,,,,,
2229,82,COMERCIAL,4,V,,,,,,,,1,,,,0,,,,,,,,,
2230,83,COMERCIAL,4,V,,,,,,,,1,,,,0,,,,,,,,,
2231,84,COMERCIAL,4,V,,,,,,,,1,,,,0,,,,,,,,,
2232,9,,,V,,,,1,,,,,,,,0,,,,,,,,,
2233,11,,,V,,,,,3,,,,,,,0,,,,,,,,,
2234,11,,,V,,,,1,,,,,,,,0,,,,,,,,,
2235,13,BALDIO,2,,,,,,,,,,,,,0,,,,,,,,,
2236,15,,,V,,,,,1,,,,,,,0,,,,,,,,,
2237,17,,,V,,,,,1,,,,,,,0,,,,,,,,,
2238,19,,,V,,,,,1,,,,,,,0,,,,,,,,,
2239,S/N,COMERCIAL,4,V,,,,,,,,1,,,,0,,,,,,,,,
2240,S/N,,,V,,,,,1,,,,,,,1,,,,,1,,,,
2241,S/N,CANCHA DEPORTIVA,3,,,,,,,,,,,,,0,,,,,,,,,
2242,S/N,,,V,,,,1,,,,,,,,1,,,,,1,,,,
2243,S/N,,,V,,,,1,,,,,,,,1,,,,,1,,,,
2244,S/N,,,V,,,,1,,,,,,,,0,,,,,,,,,
2245,S/N,,,V,,,,1,,,,,,,,0,,,,,,,,,
2246,S/N,,,V,,,,,1,,,,,,,0,,,,,,,,,
2247,S/N,,,V,,,,1,,,,,,,,1,,,,,1,,,,
